State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Mississippi,2017,2986220.0,36.9,1448717.0,1537503.0,1755471.0,1122576.0,28859.0,88261.0,2249677.0,68894.0,2795365.0,42009.0,22500.0,620007.0,2890123.0,117786.0,1349864.0,1308259.0,751649.0,351865.0,109300.0,740.0,26342.0,204745.0,2.62,28842875.0,1141380.0,4135.0,17411.0,25817.0,2921628.0,43005.0,768333.0,165666.0,188344.0,1956101.0,26200.0,473078.0,327958.0,259993.0,112174.0,18905.0
Missouri,2017,6075300.0,38.4,2981332.0,3093968.0,5004537.0,703061.0,112959.0,244420.0,4666661.0,242835.0,5702159.0,51542.0,28282.0,861679.0,5891760.0,175919.0,3062657.0,2763250.0,1597325.0,788878.0,145400.0,784.0,61708.0,377047.0,2.47,63483095.0,2571122.0,41877.0,54038.0,133143.0,5961514.0,89999.0,1464928.0,245992.0,281380.0,4100209.0,33469.0,1079154.0,623476.0,718198.0,318072.0,49226.0
Montana,2017,1029862.0,39.8,517860.0,512002.0,916664.0,4438.0,7448.0,36626.0,800387.0,21771.0,968644.0,50801.0,28706.0,144198.0,1004612.0,25076.0,526388.0,501099.0,284168.0,135807.0,209100.0,751.0,10308.0,81124.0,2.38,8189310.0,418686.0,3721.0,25139.0,31391.0,1014596.0,18177.0,238936.0,43154.0,56541.0,703919.0,3264.0,174647.0,122989.0,145089.0,49649.0,8940.0
Nebraska,2017,1893921.0,36.3,943547.0,950374.0,1663612.0,89718.0,42208.0,198300.0,1419194.0,130660.0,1763094.0,56675.0,29866.0,220330.0,1839825.0,38881.0,1031005.0,824176.0,494189.0,254216.0,142400.0,773.0,19920.0,75771.0,2.46,17166770.0,886479.0,6629.0,26519.0,42062.0,1865028.0,26020.0,494959.0,67608.0,73718.0,1233842.0,13699.0,286241.0,195150.0,251182.0,88669.0,15612.0
Nevada,2017,2887725.0,37.7,1450091.0,1437634.0,1936453.0,253013.0,232502.0,814305.0,2210048.0,561744.0,2706518.0,55434.0,28450.0,405263.0,2846365.0,116285.0,1465320.0,1220422.0,582614.0,469635.0,216400.0,1017.0,39562.0,168173.0,2.71,30521260.0,1172478.0,45950.0,26359.0,50392.0,2852693.0,68088.0,703704.0,140977.0,181529.0,1968023.0,30781.0,476520.0,360710.0,306611.0,111435.0,17143.0
New Hampshire,2017,1331848.0,42.7,659131.0,672717.0,1244260.0,18632.0,33313.0,45266.0,1066202.0,78869.0,1267615.0,71305.0,36914.0,104470.0,1289255.0,33566.0,748779.0,627619.0,372304.0,154406.0,244900.0,1052.0,13884.0,100909.0,2.45,17760430.0,619459.0,6059.0,19407.0,42475.0,1314875.0,9216.0,283202.0,38473.0,49753.0,939471.0,5158.0,223845.0,118909.0,209224.0,97891.0,13370.0
New Jersey,2017,8960161.0,39.6,4372321.0,4587840.0,6085474.0,1207356.0,844105.0,1764520.0,6952305.0,1979156.0,8433445.0,76475.0,39069.0,938252.0,8783989.0,328167.0,4724242.0,3595055.0,2052073.0,1147038.0,321100.0,1249.0,99641.0,395944.0,2.74,129616480.0,3418708.0,493428.0,128622.0,181388.0,8854377.0,92339.0,2111082.0,324471.0,422050.0,6163699.0,81641.0,1564815.0,717690.0,1439971.0,658970.0,94816.0
New Mexico,2017,2084828.0,37.3,1032086.0,1052742.0,1547843.0,42187.0,29991.0,1004103.0,1577889.0,201298.0,1953766.0,46718.0,25257.0,420293.0,2043896.0,73710.0,962123.0,927790.0,522930.0,247505.0,163900.0,809.0,19038.0,157355.0,2.65,18169180.0,787695.0,9801.0,18700.0,41892.0,2050101.0,34628.0,526001.0,98286.0,119350.0,1381630.0,18090.0,300829.0,241184.0,208790.0,115064.0,24839.0
Alabama,2017,4850771.0,38.7,2350806.0,2499965.0,3317702.0,1287167.0,62815.0,198375.0,3735780.0,167926.0,4558608.0,46472.0,25746.0,849699.0,4729116.0,165391.0,2233209.0,2231126.0,1273217.0,583478.0,132100.0,747.0,43678.0,374431.0,2.55,48314310.0,1916975.0,7433.0,22659.0,62502.0,4770692.0,41459.0,1170330.0,221678.0,245506.0,3276637.0,41118.0,831994.0,513751.0,503930.0,216001.0,34195.0
Alaska,2017,738565.0,33.9,386319.0,352246.0,481971.0,23702.0,45604.0,50162.0,535290.0,56043.0,684298.0,76114.0,35065.0,73380.0,719983.0,29548.0,400622.0,313937.0,160854.0,91682.0,261900.0,1200.0,8134.0,61401.0,2.81,6490010.0,291855.0,5453.0,28714.0,15850.0,714038.0,21216.0,195335.0,41023.0,47121.0,475442.0,3451.0,106162.0,94589.0,88308.0,35770.0,4865.0
Arizona,2017,6809946.0,37.2,3385055.0,3424891.0,5277661.0,292831.0,213417.0,2103523.0,5170213.0,911810.0,6375189.0,53510.0,27964.0,1128046.0,6654096.0,225911.0,3197116.0,2941894.0,1567338.0,914973.0,193200.0,972.0,72677.0,459583.0,2.68,68907520.0,2552959.0,58267.0,57699.0,171379.0,6701990.0,159703.0,1717624.0,292153.0,352517.0,4516175.0,65604.0,909646.0,803209.0,802435.0,347309.0,55224.0
