State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Mississippi,2018,2988762.0,37.2,1450379.0,1538383.0,1751193.0,1125834.0,28313.0,90493.0,2257701.0,69752.0,2800187.0,43567.0,23434.0,599795.0,2890347.0,110036.0,1349340.0,1316108.0,754018.0,351558.0,114500.0,762.0,26768.0,210532.0,2.62,29189080.0,1148639.0,3393.0,17028.0,27779.0,2922647.0,37863.0,763739.0,153944.0,176910.0,1967314.0,25771.0,474505.0,323976.0,266274.0,116055.0,19112.0
Missouri,2018,6090062.0,38.5,2988772.0,3101290.0,5008342.0,704896.0,116720.0,249105.0,4686706.0,247788.0,5717130.0,53560.0,29537.0,837930.0,5907190.0,155958.0,3062496.0,2775635.0,1601845.0,794426.0,151600.0,809.0,62087.0,379364.0,2.47,64254060.0,2588131.0,40311.0,55495.0,137750.0,5976738.0,85240.0,1459999.0,228150.0,263295.0,4124838.0,33534.0,1076664.0,624735.0,729543.0,329182.0,49939.0
Montana,2018,1041732.0,39.8,524220.0,517512.0,925642.0,4630.0,7947.0,39019.0,810968.0,22685.0,979922.0,52559.0,29765.0,139063.0,1016407.0,22433.0,532854.0,505685.0,286553.0,136687.0,219600.0,783.0,10215.0,82445.0,2.39,8401340.0,426229.0,3852.0,25889.0,32503.0,1026586.0,16377.0,240210.0,38632.0,49271.0,714267.0,3151.0,175345.0,121715.0,148624.0,52011.0,9069.0
Nebraska,2018,1904760.0,36.4,949910.0,954850.0,1666463.0,90860.0,44105.0,203281.0,1427013.0,133424.0,1772948.0,59116.0,31101.0,213790.0,1850245.0,36545.0,1035610.0,830749.0,498567.0,255496.0,147800.0,805.0,19983.0,76686.0,2.46,17405100.0,892182.0,6531.0,26141.0,43544.0,1875468.0,25648.0,497476.0,62003.0,68971.0,1242463.0,14848.0,283361.0,192857.0,258291.0,92723.0,16253.0
Nevada,2018,2922849.0,37.9,1467165.0,1455684.0,1935103.0,261123.0,234693.0,831597.0,2240444.0,566400.0,2740538.0,57598.0,29961.0,393431.0,2881404.0,101748.0,1480282.0,1235096.0,600520.0,475410.0,242400.0,1060.0,40787.0,159166.0,2.68,31506085.0,1196476.0,46574.0,25750.0,53538.0,2887475.0,55676.0,706968.0,122353.0,159078.0,2001450.0,32255.0,483098.0,365081.0,317510.0,116743.0,18419.0
New Hampshire,2018,1343622.0,42.7,664983.0,678639.0,1250014.0,20516.0,36124.0,48356.0,1079229.0,81287.0,1279543.0,74057.0,38548.0,102352.0,1300664.0,30392.0,756239.0,630955.0,374758.0,153320.0,252800.0,1077.0,13879.0,102877.0,2.46,18063450.0,627473.0,5806.0,19003.0,45262.0,1326243.0,8339.0,282167.0,33675.0,43564.0,952115.0,5568.0,223340.0,119591.0,213277.0,101226.0,13890.0
New Jersey,2018,8881845.0,39.8,4335930.0,4545915.0,6031747.0,1196764.0,832403.0,1768020.0,6900026.0,1968060.0,8360161.0,79363.0,40895.0,904132.0,8707826.0,285084.0,4684112.0,3605401.0,2054413.0,1158949.0,327900.0,1295.0,100323.0,392039.0,2.71,130635610.0,3416225.0,494549.0,125663.0,188430.0,8776839.0,83172.0,2081741.0,278770.0,365367.0,6129542.0,82079.0,1530024.0,710066.0,1457910.0,671274.0,96530.0
New Mexico,2018,2092434.0,37.5,1035850.0,1056584.0,1558886.0,43006.0,31513.0,1015751.0,1588809.0,201234.0,1964077.0,48059.0,26085.0,410389.0,2050855.0,68370.0,960566.0,932818.0,524242.0,251409.0,166800.0,828.0,19821.0,157167.0,2.64,18475675.0,794374.0,10139.0,18023.0,42468.0,2057526.0,30092.0,522555.0,82711.0,103883.0,1394280.0,17383.0,303626.0,241381.0,213129.0,116002.0,25476.0
New York,2018,19618453.0,38.7,9519555.0,10098898.0,12514949.0,3068099.0,1630341.0,3705588.0,15454351.0,4439893.0,18454847.0,65323.0,37470.0,2797985.0,19108993.0,602636.0,10070138.0,8287087.0,3943356.0,3373181.0,302200.0,1240.0,291844.0,970550.0,2.6,295138830.0,5515207.0,2591512.0,569444.0,389169.0,19378618.0,118899.0,4388587.0,510675.0,601736.0,13606342.0,264723.0,3020851.0,1503643.0,2748577.0,1541679.0,207127.0
North Carolina,2018,10155624.0,38.6,4944759.0,5210865.0,6994240.0,2179622.0,282264.0,935950.0,7769935.0,799616.0,9552431.0,52413.0,29456.0,1523949.0,9881292.0,312610.0,5071505.0,4573066.0,2548705.0,1369892.0,165900.0,877.0,114410.0,654469.0,2.52,107805790.0,4215826.0,47381.0,85152.0,253038.0,9952031.0,121153.0,2431983.0,424548.0,546928.0,6881774.0,82023.0,1482960.0,1045166.0,1345846.0,543580.0,92923.0
North Dakota,2018,752201.0,35.1,386183.0,366018.0,655268.0,20445.0,10814.0,26529.0,572409.0,29629.0,699381.0,63473.0,35373.0,79270.0,727322.0,11689.0,418604.0,367684.0,197347.0,117556.0,185000.0,806.0,7826.0,52781.0,2.31,6493690.0,359759.0,2150.0,13631.0,18923.0,736241.0,13290.0,183801.0,21288.0,19591.0,490233.0,3019.0,113235.0,79736.0,105552.0,26902.0,4980.0
Ohio,2018,11641879.0,39.3,5703967.0,5937912.0,9489832.0,1438271.0,249741.0,431327.0,9015230.0,520981.0,10945946.0,54533.0,30304.0,1645986.0,11319092.0,343232.0,5901307.0,5188270.0,3071227.0,1582848.0,140000.0,788.0,124053.0,534195.0,2.43,122560035.0,4949445.0,87570.0,121728.0,220315.0,11468700.0,122956.0,2772744.0,275578.0,335838.0,7937085.0,68548.0,2333362.0,1080640.0,1370810.0,613112.0,88562.0
Oklahoma,2018,3918137.0,36.4,1941576.0,1976561.0,2837772.0,287959.0,83392.0,407521.0,2941864.0,234536.0,3654145.0,51424.0,27432.0,607810.0,3802004.0,99087.0,1878306.0,1723230.0,967038.0,507582.0,130900.0,793.0,37090.0,248610.0,2.58,36360570.0,1615004.0,7428.0,31322.0,70248.0,3837568.0,82099.0,1010832.0,210731.0,249493.0,2574001.0,25034.0,677212.0,415100.0,428829.0,157907.0,25049.0
Oregon,2018,4081943.0,39.2,2023021.0,2058922.0,3445933.0,77789.0,174510.0,523956.0,3210858.0,405821.0,3850016.0,59393.0,32045.0,565247.0,4004544.0,123485.0,2061035.0,1750539.0,985523.0,606312.0,287300.0,1050.0,52089.0,158704.0,2.51,41907850.0,1545544.0,85300.0,71623.0,129763.0,4042073.0,35706.0,917260.0,115618.0,139057.0,2850693.0,30821.0,530622.0,499948.0,583144.0,247490.0,45171.0
Pennsylvania,2018,12791181.0,40.7,6263189.0,6527992.0,10341442.0,1423319.0,427892.0,905156.0,10110773.0,865720.0,12081931.0,59445.0,32889.0,1578949.0,12380149.0,379765.0,6536846.0,5673599.0,3467467.0,1557665.0,174100.0,915.0,125296.0,648467.0,2.46,154924705.0,5104953.0,337633.0,223371.0,280424.0,12587979.0,127886.0,2847705.0,301561.0,347016.0,8921363.0,88991.0,2784595.0,939376.0,1661705.0,774543.0,131168.0
Rhode Island,2018,1056611.0,39.9,513332.0,543279.0,854502.0,69254.0,35663.0,158858.0,844196.0,144197.0,1002024.0,63296.0,34619.0,133055.0,1016029.0,34479.0,565997.0,467412.0,247565.0,163320.0,249800.0,981.0,14630.0,56527.0,2.47,12302265.0,457799.0,12915.0,18556.0,20430.0,1040879.0,6121.0,224995.0,24041.0,23448.0,733188.0,10680.0,172787.0,90873.0,145595.0,69830.0,12888.0
South Carolina,2018,4955925.0,39.2,2405726.0,2550199.0,3332986.0,1339360.0,75084.0,275685.0,3828471.0,240439.0,4665835.0,51015.0,27986.0,770632.0,4814032.0,153242.0,2411983.0,2256951.0,1305349.0,589362.0,154800.0,868.0,47860.0,362240.0,2.54,52214115.0,2033156.0,11816.0,46140.0,91900.0,4858485.0,54583.0,1159141.0,211182.0,266452.0,3385002.0,37099.0,847337.0,496341.0,588965.0,250813.0,36994.0
