State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Alabama,2021,4997675.0,39.3,2429703.0,2567972.0,3338590.0,1324233.0,70161.0,224659.0,3859695.0,173429.0,4702043.0,54943.0,30458.0,769819.0,4876863.0,124416.0,2313616.0,2278526.0,1320571.0,582412.0,157100.0,852.0,44097.0,375543.0,2.57,51105465.0,1975704.0,7097.0,23088.0,120723.0,4920010.0,40628.0,1190423.0,193735.0,239179.0,3413803.0,43813.0,864345.0,514689.0,563628.0,251040.0,41681.0
Alaska,2021,735951.0,35.0,384749.0,351202.0,458520.0,23721.0,47213.0,53604.0,533140.0,57925.0,685160.0,80287.0,39236.0,75016.0,719086.0,25054.0,383795.0,324434.0,171207.0,89354.0,282800.0,1279.0,8048.0,63873.0,2.72,6323585.0,277640.0,4139.0,25805.0,24822.0,709438.0,16925.0,191282.0,32653.0,35902.0,484382.0,3675.0,111772.0,86787.0,92691.0,39503.0,6028.0
Arizona,2021,7079203.0,38.1,3533895.0,3545308.0,4985729.0,318827.0,234495.0,2257429.0,5442481.0,922119.0,6666597.0,65913.0,34644.0,934911.0,6926281.0,191115.0,3424193.0,3056890.0,1765658.0,917899.0,265600.0,1172.0,79296.0,373333.0,2.58,72098045.0,2628121.0,44037.0,56737.0,371929.0,6976512.0,148351.0,1713434.0,255399.0,329756.0,4792007.0,74688.0,934136.0,811770.0,923339.0,413353.0,66423.0
Arkansas,2021,3006309.0,38.3,1483520.0,1522789.0,2227020.0,458086.0,46388.0,236001.0,2294772.0,148159.0,2821729.0,52123.0,29210.0,468113.0,2923735.0,73733.0,1390373.0,1361880.0,765297.0,393163.0,142100.0,803.0,32748.0,203420.0,2.53,26845025.0,1184798.0,3748.0,19734.0,72933.0,2955770.0,38303.0,745740.0,96689.0,120056.0,2021290.0,26523.0,566668.0,301826.0,313527.0,129009.0,19363.0
California,2021,39455353.0,37.0,19714044.0,19741309.0,20553732.0,2233258.0,5887396.0,15593787.0,30314292.0,10454949.0,37105018.0,84097.0,41276.0,4741175.0,38701352.0,1303741.0,20129162.0,14328539.0,7335247.0,5882339.0,573200.0,1698.0,527598.0,1110953.0,2.92,478871015.0,14580124.0,743816.0,443699.0,2076612.0,38946377.0,317472.0,9521599.0,1011532.0,1410537.0,26797070.0,820953.0,4836799.0,3919551.0,5855383.0,2449563.0,468234.0
Colorado,2021,5723176.0,37.1,2895936.0,2827240.0,4507448.0,234065.0,183391.0,1254636.0,4423649.0,545464.0,5398930.0,80184.0,42807.0,535976.0,5605422.0,145038.0,3157660.0,2454873.0,1473449.0,754483.0,397500.0,1437.0,71918.0,226941.0,2.52,65671540.0,2331860.0,73763.0,77629.0,414155.0,5629512.0,66299.0,1336850.0,165240.0,206446.0,3937040.0,48362.0,657382.0,563126.0,1051023.0,465071.0,72585.0
Connecticut,2021,3605330.0,41.0,1768860.0,1836470.0,2595884.0,389290.0,167308.0,610065.0,2851458.0,534220.0,3423208.0,83572.0,47869.0,351476.0,3503694.0,117631.0,1950007.0,1527039.0,925503.0,471821.0,286700.0,1260.0,40098.0,129715.0,2.5,42566040.0,1464741.0,68957.0,47482.0,186364.0,3556794.0,22519.0,796237.0,63711.0,95413.0,2515137.0,33094.0,579708.0,281661.0,561567.0,334219.0,45020.0
Delaware,2021,981892.0,41.1,477219.0,504673.0,645409.0,215745.0,39684.0,95278.0,769893.0,94639.0,927658.0,72724.0,38917.0,109274.0,955602.0,27993.0,496804.0,445104.0,272435.0,108662.0,269700.0,1199.0,9210.0,64007.0,2.51,10768705.0,389829.0,9178.0,9458.0,45204.0,966239.0,8699.0,221322.0,20296.0,26605.0,690618.0,6240.0,186669.0,88319.0,134252.0,71962.0,13243.0
District of Columbia,2021,683154.0,34.3,325490.0,357664.0,276373.0,305109.0,27988.0,76982.0,554941.0,92191.0,640196.0,93547.0,63793.0,100618.0,651618.0,28493.0,405651.0,344306.0,128720.0,181384.0,635900.0,1681.0,16924.0,34202.0,2.08,9047000.0,131329.0,100595.0,41960.0,73567.0,673717.0,2939.0,134883.0,9693.0,9779.0,487726.0,6160.0,63511.0,43879.0,124285.0,106838.0,20810.0
Florida,2021,21339762.0,42.3,10489548.0,10850214.0,14449017.0,3358469.0,596862.0,5593090.0,17007209.0,4478419.0,20220968.0,61777.0,35216.0,2744612.0,20928219.0,552125.0,10448290.0,9764897.0,5420631.0,2736789.0,248700.0,1301.0,247027.0,1607477.0,2.57,243599395.0,8251975.0,135556.0,130097.0,957005.0,21027201.0,338776.0,4506790.0,930675.0,1339461.0,15349290.0,248308.0,3641011.0,1995872.0,3038293.0,1253271.0,191417.0
