State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Mississippi,2015,2988081.0,36.5,1451723.0,1536358.0,1768174.0,1116457.0,28900.0,86507.0,2241286.0,69147.0,2790348.0,39665.0,21057.0,651545.0,2890915.0,138445.0,1352993.0,1289704.0,749982.0,346611.0,103100.0,717.0,26205.0,193111.0,2.64,28026650.0,1123100.0,4759.0,18179.0,26373.0,2921189.0,48809.0,733614.0,197941.0,213948.0,1940365.0,27994.0,469777.0,330876.0,251230.0,106977.0,17753.0
Missouri,2015,6045448.0,38.2,2964003.0,3081445.0,4995527.0,697022.0,106537.0,233046.0,4625416.0,237480.0,5668676.0,48173.0,26259.0,915972.0,5863113.0,226528.0,3053938.0,2729862.0,1590020.0,774668.0,138400.0,746.0,62181.0,365174.0,2.48,61554030.0,2522452.0,41297.0,54216.0,121573.0,5932449.0,93601.0,1396052.0,297620.0,331595.0,4052300.0,32874.0,1079150.0,620842.0,685454.0,300193.0,45873.0
Montana,2015,1014699.0,39.7,510163.0,504536.0,904977.0,4757.0,7187.0,33622.0,786786.0,20985.0,954002.0,47169.0,26381.0,150586.0,989932.0,32361.0,521330.0,488845.0,275063.0,134331.0,193500.0,711.0,10386.0,79451.0,2.41,8109180.0,409359.0,3955.0,23410.0,29739.0,999213.0,21286.0,223495.0,58683.0,74574.0,690448.0,2786.0,175079.0,123854.0,138099.0,44936.0,8546.0
Nebraska,2015,1869365.0,36.2,929606.0,939759.0,1647551.0,88195.0,38066.0,186268.0,1399725.0,123351.0,1739329.0,52997.0,27882.0,231115.0,1815585.0,47602.0,1020419.0,809811.0,487948.0,248665.0,133200.0,726.0,19714.0,73198.0,2.47,16684295.0,867606.0,6814.0,26868.0,41986.0,1840934.0,25604.0,463638.0,80050.0,82350.0,1215400.0,13074.0,292881.0,196110.0,238158.0,82229.0,14655.0
Nevada,2015,2798636.0,37.2,1407735.0,1390901.0,1929661.0,235721.0,214846.0,770553.0,2128243.0,537252.0,2619828.0,51847.0,26541.0,426337.0,2759180.0,148467.0,1424596.0,1192083.0,559793.0,456916.0,173700.0,973.0,38808.0,175374.0,2.72,28999945.0,1111777.0,45505.0,27147.0,40736.0,2763700.0,86181.0,660728.0,188484.0,223007.0,1884237.0,28887.0,457309.0,349916.0,285510.0,102243.0,16273.0
New Hampshire,2015,1324201.0,42.2,653484.0,670717.0,1241313.0,17439.0,31364.0,42141.0,1051190.0,75747.0,1258609.0,66779.0,34362.0,113840.0,1283292.0,42733.0,742874.0,618950.0,369175.0,151076.0,237300.0,1000.0,14029.0,98699.0,2.47,17253265.0,607321.0,5775.0,19449.0,41061.0,1309057.0,9866.0,271222.0,47842.0,63723.0,925145.0,5450.0,228481.0,119753.0,202048.0,90834.0,13755.0
New Jersey,2015,8904413.0,39.4,4343027.0,4561386.0,6083940.0,1202300.0,804989.0,1688008.0,6873695.0,1929125.0,8370769.0,72093.0,36582.0,944847.0,8728868.0,413343.0,4702508.0,3577942.0,2056107.0,1133379.0,315900.0,1192.0,97394.0,388456.0,2.73,124499015.0,3350696.0,464074.0,129023.0,169094.0,8796604.0,96072.0,2019073.0,405756.0,502784.0,6091495.0,79688.0,1586195.0,721851.0,1387201.0,615746.0,90732.0
New Mexico,2015,2084117.0,37.0,1032414.0,1051703.0,1524911.0,43738.0,28761.0,986972.0,1568495.0,203704.0,1946128.0,44963.0,24012.0,429361.0,2043677.0,88924.0,973891.0,909565.0,519676.0,243927.0,160300.0,777.0,18814.0,145962.0,2.67,17924365.0,783317.0,9671.0,19523.0,40824.0,2049702.0,37625.0,505704.0,138534.0,155413.0,1367822.0,18345.0,298130.0,241305.0,202298.0,110788.0,25255.0
New York,2015,19673174.0,38.1,9541801.0,10131373.0,12704637.0,3070392.0,1570223.0,3619658.0,15397847.0,4422741.0,18496742.0,59269.0,33236.0,3005943.0,19164034.0,829141.0,10107278.0,8171725.0,3894722.0,3367557.0,283400.0,1132.0,288112.0,909446.0,2.63,281140405.0,5436324.0,2521039.0,580469.0,355297.0,19427310.0,152678.0,4243142.0,818248.0,878905.0,13435795.0,248247.0,3080068.0,1558651.0,2604077.0,1433296.0,193097.0
North Carolina,2015,9845333.0,38.0,4795408.0,5049925.0,6839831.0,2115338.0,244076.0,869908.0,7478600.0,758021.0,9234163.0,46868.0,25920.0,1667465.0,9592619.0,453420.0,4909108.0,4417210.0,2459072.0,1316509.0,154900.0,797.0,109102.0,641629.0,2.54,99243015.0,3972462.0,48600.0,78111.0,204196.0,9649606.0,140018.0,2280606.0,565664.0,676942.0,6582301.0,83514.0,1469226.0,1013232.0,1213587.0,467519.0,84345.0
