State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Alabama,2019,4876250.0,39.0,2359355.0,2516895.0,3320247.0,1299048.0,66270.0,208626.0,3766571.0,172947.0,4583063.0,50536.0,27928.0,795989.0,4754288.0,132095.0,2242785.0,2255026.0,1284748.0,583145.0,142700.0,792.0,42905.0,387133.0,2.55,49913640.0,1953288.0,6927.0,23376.0,69165.0,4797215.0,36972.0,1162995.0,193275.0,224687.0,3320877.0,40837.0,841716.0,508105.0,529178.0,230528.0,35796.0
Alaska,2019,737068.0,34.3,384915.0,352153.0,476015.0,24205.0,45920.0,51870.0,534918.0,57667.0,683831.0,77640.0,36787.0,76933.0,719376.0,26808.0,392338.0,316901.0,162996.0,90350.0,270400.0,1244.0,7486.0,63555.0,2.8,6468985.0,288451.0,4640.0,27220.0,17026.0,712356.0,19666.0,192663.0,35901.0,40809.0,480586.0,3434.0,108797.0,91792.0,88058.0,37958.0,5630.0
Arizona,2019,7050299.0,37.7,3504509.0,3545790.0,5444453.0,317462.0,233213.0,2208663.0,5395363.0,940651.0,6616331.0,58945.0,30694.0,1043764.0,6891224.0,195905.0,3346155.0,3003286.0,1656756.0,914512.0,225500.0,1052.0,75275.0,432018.0,2.68,74375005.0,2700136.0,55922.0,59158.0,200947.0,6941028.0,143341.0,1734235.0,255252.0,314894.0,4732532.0,71270.0,940168.0,833268.0,869452.0,378467.0,60236.0
Arkansas,2019,2999370.0,38.1,1471760.0,1527610.0,2301044.0,459542.0,45504.0,224130.0,2290364.0,145047.0,2809734.0,47597.0,26577.0,496260.0,2910954.0,70481.0,1378722.0,1370281.0,759455.0,398616.0,127800.0,745.0,31887.0,212210.0,2.52,27022325.0,1200747.0,4579.0,22782.0,44461.0,2945234.0,36014.0,743199.0,99241.0,113063.0,2011639.0,23602.0,559816.0,312423.0,297250.0,119000.0,19279.0
California,2019,39283497.0,36.5,19526298.0,19757199.0,23453222.0,2274108.0,5692423.0,15327688.0,30130323.0,10547210.0,36831969.0,75235.0,36955.0,5149742.0,38535926.0,1199233.0,19921547.0,14175976.0,7154580.0,5889686.0,505000.0,1503.0,534670.0,1131710.0,2.95,509970415.0,15252673.0,923834.0,476291.0,1073966.0,38787337.0,313815.0,9538507.0,1117638.0,1425497.0,26471543.0,713452.0,4813250.0,4064990.0,5603047.0,2294771.0,437111.0
Colorado,2019,5610349.0,36.7,2823201.0,2787148.0,4712574.0,233647.0,178147.0,1208172.0,4315693.0,546513.0,5276317.0,72331.0,38226.0,565873.0,5489133.0,131371.0,3069631.0,2386475.0,1401735.0,747259.0,343300.0,1271.0,69504.0,237481.0,2.56,68344730.0,2415964.0,87734.0,81742.0,238118.0,5516337.0,59581.0,1332894.0,163227.0,192522.0,3825579.0,37709.0,667781.0,570744.0,981017.0,428252.0,65340.0
Delaware,2019,957248.0,40.6,462890.0,494358.0,658237.0,212302.0,37009.0,88364.0,750132.0,91473.0,902418.0,68287.0,35450.0,109400.0,930764.0,26481.0,485533.0,433195.0,258780.0,104542.0,251100.0,1130.0,8939.0,69873.0,2.57,11247225.0,401984.0,11458.0,9535.0,22545.0,942219.0,7951.0,216127.0,20435.0,24378.0,669320.0,6505.0,187323.0,85204.0,124632.0,64883.0,11774.0
District of Columbia,2019,692683.0,34.0,328644.0,364039.0,285857.0,320811.0,27592.0,76191.0,565687.0,95065.0,647643.0,86420.0,56147.0,107140.0,659676.0,27967.0,407904.0,315176.0,118367.0,166019.0,601500.0,1541.0,14098.0,30790.0,2.3,10753220.0,144772.0,129713.0,49976.0,24750.0,682728.0,2642.0,133969.0,11197.0,10790.0,494116.0,5406.0,70065.0,45316.0,122380.0,104526.0,20906.0
Connecticut,2019,3575074.0,41.0,1744245.0,1830829.0,2714031.0,383416.0,161257.0,574240.0,2822508.0,520951.0,3391266.0,78444.0,44496.0,344146.0,3470087.0,116456.0,1940825.0,1516629.0,905681.0,465065.0,275400.0,1180.0,39555.0,145883.0,2.53,45097460.0,1539670.0,83525.0,48323.0,93966.0,3524580.0,23998.0,795327.0,69165.0,91112.0,2483095.0,26484.0,588032.0,286787.0,541380.0,315473.0,42208.0
Florida,2019,20901636.0,42.0,10220813.0,10680823.0,15702256.0,3359031.0,571276.0,5346684.0,16660000.0,4324800.0,19773422.0,55660.0,31619.0,2870487.0,20481252.0,561448.0,10116026.0,9448159.0,5058841.0,2677470.0,215300.0,1175.0,239801.0,1711848.0,2.65,244882295.0,8285775.0,170350.0,134920.0,578412.0,20588432.0,319462.0,4424249.0,949195.0,1317877.0,14965745.0,224991.0,3647514.0,2023116.0,2827938.0,1138820.0,176198.0
Georgia,2019,10403847.0,36.7,5062096.0,5341751.0,6098889.0,3289020.0,414481.0,992394.0,7849349.0,1053874.0,9747170.0,58700.0,31067.0,1528558.0,10130335.0,290560.0,5174538.0,4283477.0,2377773.0,1381025.0,176000.0,1006.0,112856.0,524679.0,2.7,129536780.0,4248085.0,100374.0,71329.0,278764.0,10213659.0,192226.0,2655417.0,518304.0,628641.0,6888279.0,92308.0,1582994.0,1012537.0,1324801.0,590536.0,93108.0
Idaho,2019,1717750.0,36.4,861025.0,856725.0,1545409.0,11918.0,24287.0,215476.0,1272433.0,102443.0,1603389.0,55785.0,27970.0,221256.0,1686285.0,35879.0,832286.0,723594.0,440716.0,189292.0,212300.0,853.0,14637.0,93586.0,2.68,15448600.0,691136.0,5681.0,20956.0,48649.0,1696068.0,23871.0,465898.0,66605.0,87671.0,1115556.0,10691.0,246382.0,196662.0,207179.0,69784.0,13653.0
Hawaii,2019,1422094.0,39.1,713260.0,708834.0,354847.0,26025.0,537355.0,149118.0,1075919.0,262439.0,1333252.0,81275.0,35567.0,130649.0,1384184.0,30269.0,752064.0,542674.0,270377.0,189047.0,615300.0,1617.0,15730.0,83250.0,3.0,18436145.0,573951.0,43590.0,31920.0,33940.0,1369339.0,7302.0,319757.0,20325.0,23936.0,993005.0,10456.0,247978.0,150695.0,215777.0,74614.0,14175.0
