State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Alabama,2014,4817678.0,38.2,2336020.0,2481658.0,3327891.0,1269808.0,58322.0,191838.0,3685939.0,166477.0,4518107.0,43511.0,23936.0,889710.0,4699510.0,228716.0,2253005.0,2190638.0,1274196.0,567978.0,123800.0,715.0,43125.0,348464.0,2.55,46805370.0,1877915.0,8943.0,22697.0,53344.0,4735953.0,51606.0,1115913.0,286339.0,299742.0,3217902.0,41671.0,824979.0,514936.0,465268.0,196935.0,31815.0
Alaska,2014,728300.0,33.4,380119.0,348181.0,484195.0,25148.0,40976.0,45247.0,523434.0,51680.0,673802.0,71829.0,33129.0,71866.0,711235.0,32097.0,396856.0,307820.0,159415.0,92263.0,246300.0,1131.0,8321.0,56142.0,2.79,6372225.0,284016.0,5617.0,27830.0,16698.0,704405.0,22497.0,187648.0,52702.0,58024.0,460319.0,2924.0,103345.0,96871.0,82261.0,32681.0,5126.0
Arizona,2014,6561516.0,36.5,3258791.0,3302725.0,5174082.0,274380.0,191071.0,1977026.0,4923564.0,883647.0,6120900.0,49928.0,25537.0,1169309.0,6411354.0,304067.0,3076534.0,2874548.0,1513294.0,873952.0,162900.0,905.0,71948.0,487302.0,2.69,63420120.0,2384301.0,55040.0,54984.0,151847.0,6453706.0,193960.0,1618368.0,397121.0,448940.0,4284776.0,55703.0,877163.0,785304.0,733845.0,306410.0,49252.0
Arkansas,2014,2947036.0,37.6,1447235.0,1499801.0,2306073.0,458136.0,38409.0,198109.0,2232214.0,135770.0,2753339.0,41264.0,22595.0,549303.0,2862662.0,115090.0,1372077.0,1329139.0,753620.0,378868.0,108700.0,675.0,29673.0,196651.0,2.53,25581880.0,1150723.0,5173.0,21484.0,39183.0,2893883.0,41342.0,707327.0,200947.0,212169.0,1949963.0,22572.0,564546.0,306494.0,263299.0,98442.0,16663.0
California,2014,38066920.0,35.6,18911519.0,19155401.0,23650913.0,2262323.0,5130536.0,14534449.0,28720844.0,10290636.0,35545621.0,61489.0,29906.0,6115244.0,37323127.0,2084564.0,19108876.0,13781929.0,6908925.0,5708355.0,371400.0,1243.0,508660.0,1164649.0,2.95,431493540.0,13942134.0,859372.0,451715.0,871110.0,37551064.0,687607.0,9195784.0,2619711.0,2883719.0,24865866.0,624808.0,4597854.0,4022722.0,4870524.0,1889640.0,373652.0
Colorado,2014,5197580.0,36.2,2608270.0,2589310.0,4364911.0,209062.0,146561.0,1088602.0,3931143.0,507203.0,4860145.0,59448.0,31674.0,663861.0,5079529.0,219241.0,2811701.0,2238624.0,1295048.0,703266.0,239400.0,969.0,64078.0,240310.0,2.54,58440265.0,2157410.0,82367.0,76376.0,166368.0,5105164.0,103100.0,1232503.0,292726.0,310553.0,3453403.0,30061.0,626538.0,563149.0,819675.0,344986.0,55716.0
Delaware,2014,917060.0,39.1,443923.0,473137.0,639354.0,198028.0,31745.0,78598.0,709395.0,76879.0,861111.0,60231.0,30191.0,107101.0,891493.0,39819.0,469071.0,411250.0,242860.0,96186.0,232900.0,1012.0,8516.0,72204.0,2.63,10154630.0,375979.0,13128.0,9325.0,16647.0,902268.0,9576.0,204149.0,33906.0,36824.0,620886.0,6795.0,174313.0,84079.0,108647.0,52733.0,10238.0
District of Columbia,2014,633736.0,33.7,300030.0,333706.0,254955.0,314138.0,22785.0,62637.0,522571.0,88626.0,595190.0,69235.0,46502.0,109378.0,599620.0,38496.0,367510.0,300798.0,111198.0,156217.0,454500.0,1302.0,12998.0,33383.0,2.22,9190865.0,128651.0,122975.0,40019.0,15307.0,623129.0,2629.0,107757.0,18532.0,18249.0,442721.0,4996.0,70158.0,46075.0,103179.0,79033.0,17109.0
Connecticut,2014,3592053.0,40.3,1750621.0,1841432.0,2789105.0,365871.0,145842.0,512795.0,2788416.0,490460.0,3397715.0,69899.0,38480.0,364740.0,3481115.0,186587.0,1962119.0,1490381.0,913043.0,443163.0,274500.0,1069.0,38352.0,134175.0,2.56,41689860.0,1506577.0,81585.0,52655.0,73467.0,3535851.0,27552.0,793950.0,123876.0,145909.0,2455577.0,24122.0,599157.0,298426.0,506662.0,290414.0,39987.0
Florida,2014,19361792.0,41.2,9464651.0,9897141.0,14747196.0,3114841.0,490833.0,4517191.0,15285716.0,3789829.0,18284956.0,47212.0,26499.0,3159259.0,18946215.0,1024905.0,9415088.0,9051851.0,4772944.0,2444564.0,156200.0,998.0,214379.0,1834343.0,2.62,203935880.0,7343895.0,171909.0,126128.0,404741.0,19049447.0,448588.0,4011668.0,1397095.0,1833498.0,13561596.0,189444.0,3452667.0,1946602.0,2324792.0,889974.0,146998.0
Georgia,2014,9907756.0,35.8,4837995.0,5069761.0,5989234.0,3056726.0,344195.0,896717.0,7369672.0,962746.0,9236871.0,49342.0,25427.0,1781388.0,9637418.0,519291.0,4868842.0,4114496.0,2272001.0,1268689.0,148000.0,874.0,105837.0,573806.0,2.72,109985825.0,3823316.0,89210.0,66602.0,203415.0,9712380.0,221128.0,2485222.0,744532.0,798754.0,6410416.0,84070.0,1518683.0,986669.0,1148710.0,468554.0,74803.0
Idaho,2014,1599464.0,35.2,801678.0,797786.0,1468732.0,9334.0,21749.0,186374.0,1167887.0,95635.0,1483151.0,47334.0,23087.0,244618.0,1568375.0,61837.0,768276.0,675421.0,404981.0,180278.0,160500.0,738.0,14737.0,90162.0,2.68,13129040.0,608223.0,5294.0,20639.0,40932.0,1579140.0,38694.0,427825.0,98645.0,114890.0,1015487.0,10690.0,230252.0,187147.0,176651.0,56312.0,10355.0
