State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Mississippi,2016,2989192.0,36.7,1450269.0,1538923.0,1764038.0,1121327.0,28562.0,86704.0,2246662.0,67330.0,2796802.0,40528.0,21651.0,645553.0,2893091.0,128840.0,1351797.0,1295242.0,746399.0,352404.0,105700.0,723.0,26520.0,196439.0,2.63,28337230.0,1131815.0,4572.0,17813.0,26126.0,2923887.0,42049.0,729711.0,183008.0,201354.0,1949683.0,26988.0,472088.0,332064.0,255615.0,110498.0,18323.0
Missouri,2016,6059651.0,38.3,2973317.0,3086334.0,5000875.0,701896.0,107953.0,237284.0,4644895.0,236079.0,5685641.0,49593.0,27044.0,897755.0,5876366.0,200143.0,3055025.0,2738774.0,1584735.0,787627.0,141200.0,759.0,62667.0,366412.0,2.48,62485235.0,2544177.0,41741.0,53557.0,128232.0,5946094.0,87432.0,1390631.0,276804.0,305262.0,4073377.0,33236.0,1079050.0,620238.0,701863.0,308835.0,46927.0
Montana,2016,1023391.0,39.8,514191.0,509200.0,911907.0,4260.0,7481.0,34841.0,794896.0,20912.0,962396.0,48380.0,27309.0,148677.0,998314.0,29382.0,523599.0,491439.0,277307.0,135346.0,199700.0,732.0,10471.0,78786.0,2.41,8110025.0,412928.0,4064.0,24489.0,30604.0,1007946.0,18954.0,224120.0,52158.0,66508.0,698434.0,2919.0,175084.0,124141.0,140945.0,47154.0,8308.0
Nebraska,2016,1881259.0,36.2,935935.0,945324.0,1655708.0,88388.0,39794.0,191802.0,1408818.0,126533.0,1750679.0,54384.0,28596.0,227021.0,1827191.0,42544.0,1024737.0,815006.0,489806.0,251775.0,137300.0,745.0,20136.0,73425.0,2.47,16897265.0,876372.0,6754.0,26576.0,41882.0,1852809.0,24814.0,466304.0,75858.0,77477.0,1223228.0,13559.0,288518.0,194353.0,245288.0,85582.0,14591.0
Nevada,2016,2839172.0,37.5,1426322.0,1412850.0,1933057.0,243552.0,222612.0,790497.0,2166609.0,547696.0,2658732.0,53094.0,27253.0,417257.0,2798543.0,133525.0,1443621.0,1200517.0,564787.0,465914.0,191600.0,984.0,39111.0,169816.0,2.72,29666075.0,1139652.0,46227.0,26948.0,45962.0,2804116.0,74203.0,663717.0,167001.0,204165.0,1922125.0,30124.0,466140.0,356717.0,293579.0,105755.0,16525.0
New Hampshire,2016,1327503.0,42.4,656507.0,670996.0,1243594.0,17483.0,32094.0,43500.0,1058849.0,77063.0,1262827.0,68485.0,35264.0,109690.0,1285437.0,37727.0,746203.0,620729.0,368553.0,152820.0,239700.0,1021.0,13853.0,99356.0,2.47,17464255.0,613390.0,5966.0,20019.0,41885.0,1310949.0,8983.0,266541.0,44138.0,57015.0,932344.0,5410.0,225743.0,120163.0,206061.0,94043.0,13368.0
New Jersey,2016,8915456.0,39.5,4350531.0,4564925.0,6075710.0,1207221.0,819208.0,1719831.0,6897536.0,1943338.0,8386947.0,73702.0,37538.0,949341.0,8739058.0,368870.0,4699613.0,3586442.0,2047794.0,1147220.0,316400.0,1213.0,99004.0,391428.0,2.73,126616585.0,3377963.0,474568.0,127655.0,175059.0,8807899.0,90246.0,2005654.0,369916.0,460384.0,6112547.0,79716.0,1568935.0,718625.0,1411979.0,635445.0,91936.0
New Mexico,2016,2082669.0,37.2,1031440.0,1051229.0,1530636.0,41957.0,29168.0,995831.0,1571927.0,201343.0,1948900.0,45674.0,24459.0,426814.0,2042014.0,81175.0,966377.0,912445.0,516819.0,245732.0,161600.0,792.0,18727.0,149894.0,2.67,18043765.0,784136.0,10234.0,19135.0,41049.0,2048093.0,34123.0,500752.0,118447.0,137328.0,1373920.0,18356.0,298867.0,240754.0,206247.0,113426.0,24656.0
New York,2016,19697457.0,38.2,9555130.0,10142327.0,12667413.0,3073278.0,1599216.0,3661929.0,15448079.0,4442247.0,18526734.0,60741.0,34212.0,2967564.0,19186062.0,759224.0,10123078.0,8191568.0,3894613.0,3371574.0,286300.0,1159.0,291299.0,925381.0,2.63,286513980.0,5463879.0,2564874.0,577727.0,366275.0,19453583.0,135522.0,4217987.0,714307.0,792921.0,13504083.0,256347.0,3050606.0,1553015.0,2654203.0,1465968.0,199044.0
North Carolina,2016,9940828.0,38.3,4834592.0,5106236.0,6882915.0,2137131.0,254550.0,884763.0,7570164.0,767656.0,9334868.0,48256.0,26779.0,1631704.0,9685511.0,404584.0,4948265.0,4453767.0,2471723.0,1343669.0,157100.0,816.0,112229.0,638375.0,2.54,101863985.0,4045750.0,48349.0,80835.0,214932.0,9745671.0,126126.0,2284247.0,522237.0,634123.0,6684672.0,83383.0,1470346.0,1026416.0,1255557.0,492734.0,87149.0
North Dakota,2016,736162.0,35.2,376979.0,359183.0,649730.0,14761.0,9296.0,22997.0,562348.0,24364.0,684743.0,59114.0,33107.0,79314.0,710355.0,11250.0,412931.0,350134.0,193909.0,111254.0,164000.0,736.0,7585.0,44971.0,2.33,6478995.0,353570.0,1897.0,14350.0,19268.0,720312.0,12674.0,167352.0,24593.0,24464.0,477607.0,2659.0,113229.0,79381.0,97890.0,25032.0,5260.0
