State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Alabama,2022,5028092.0,39.3,2445995.0,2582097.0,3329012.0,1326341.0,69808.0,232407.0,3902062.0,177207.0,4736236.0,59609.0,33344.0,768897.0,4890427.0,120030.0,2345086.0,2296920.0,1347792.0,585358.0,179400.0,925.0,45062.0,363770.0,2.53,51658910.0,1985736.0,6982.0,24058.0,145406.0,4944981.0,39485.0,1184371.0,193271.0,235651.0,3428520.0,45445.0,864977.0,507480.0,572252.0,261039.0,42980.0
Alaska,2022,734821.0,35.3,386649.0,348172.0,450472.0,23395.0,47464.0,54890.0,534602.0,58074.0,685830.0,86370.0,42828.0,75227.0,717293.0,23035.0,383078.0,326188.0,175198.0,89178.0,318000.0,1345.0,7632.0,61812.0,2.67,6227605.0,274263.0,3805.0,27039.0,28281.0,706392.0,16409.0,187929.0,31451.0,33706.0,485871.0,3875.0,114087.0,85203.0,93744.0,39645.0,6419.0
Arizona,2022,7172282.0,38.4,3588510.0,3583772.0,4781702.0,327077.0,240642.0,2297513.0,5556036.0,935960.0,6769646.0,72581.0,38334.0,916876.0,7017776.0,186058.0,3490030.0,3097768.0,1815352.0,923784.0,321400.0,1308.0,81788.0,358632.0,2.56,71059330.0,2610395.0,40113.0,54751.0,462724.0,7060320.0,147689.0,1693683.0,268929.0,331930.0,4878959.0,80113.0,953769.0,808921.0,958447.0,429317.0,69793.0
Arkansas,2022,3018669.0,38.4,1491622.0,1527047.0,2193348.0,456693.0,47413.0,243321.0,2315442.0,151781.0,2837345.0,56335.0,31868.0,475729.0,2931377.0,71601.0,1397075.0,1371709.0,775956.0,395738.0,162400.0,868.0,31945.0,200015.0,2.51,26944420.0,1177402.0,3744.0,19571.0,87991.0,2964272.0,39858.0,739851.0,99114.0,120426.0,2031847.0,27369.0,573876.0,299173.0,317437.0,134754.0,19966.0
California,2022,39356104.0,37.3,19708947.0,19647157.0,18943660.0,2202587.0,5949136.0,15617930.0,30424929.0,10442880.0,37097796.0,91905.0,45591.0,4685272.0,38643585.0,1282055.0,20168662.0,14424442.0,7407361.0,5908461.0,659300.0,1856.0,524424.0,1108620.0,2.89,463270935.0,14313290.0,662772.0,437430.0,2500842.0,38874540.0,312643.0,9326787.0,994578.0,1381640.0,26842698.0,880931.0,4837641.0,3816058.0,5935292.0,2515475.0,488925.0
Colorado,2022,5770790.0,37.3,2927588.0,2843202.0,4393409.0,233712.0,185431.0,1273762.0,4489292.0,547602.0,5453601.0,87598.0,47346.0,540105.0,5653289.0,143483.0,3205413.0,2500095.0,1507547.0,770497.0,465900.0,1594.0,72558.0,222051.0,2.48,64239000.0,2304559.0,63953.0,79574.0,495909.0,5675719.0,66669.0,1318882.0,165357.0,206206.0,3982760.0,50945.0,660933.0,550016.0,1083618.0,481793.0,76234.0
Connecticut,2022,3611317.0,40.9,1769196.0,1842121.0,2522166.0,385407.0,170945.0,627408.0,2860674.0,542964.0,3428549.0,90213.0,52034.0,355692.0,3507563.0,115050.0,1955341.0,1531332.0,932588.0,477219.0,323700.0,1374.0,39969.0,121525.0,2.48,41563900.0,1435163.0,63423.0,48134.0,226666.0,3567016.0,22291.0,794617.0,63790.0,93185.0,2520790.0,37949.0,570708.0,277697.0,573917.0,341203.0,46421.0
Delaware,2022,993635.0,41.4,482909.0,510726.0,634244.0,218266.0,40570.0,98696.0,782975.0,97223.0,939645.0,79325.0,42180.0,107790.0,969075.0,27315.0,505728.0,451556.0,279923.0,109077.0,305200.0,1286.0,9228.0,62556.0,2.5,10713835.0,389861.0,7929.0,9929.0,54555.0,979853.0,8413.0,221082.0,21432.0,27872.0,700364.0,6745.0,184812.0,87027.0,139213.0,75033.0,13931.0
District of Columbia,2022,670587.0,34.8,320797.0,349790.0,265633.0,297101.0,27067.0,77168.0,543263.0,90096.0,629065.0,101722.0,71297.0,98039.0,649184.0,28264.0,400930.0,350372.0,130865.0,184920.0,705000.0,1817.0,17485.0,34587.0,2.03,8392940.0,125362.0,90524.0,37673.0,91835.0,661596.0,3359.0,132084.0,9072.0,9716.0,484596.0,6109.0,61269.0,42290.0,124860.0,109410.0,21167.0
Florida,2022,21634529.0,42.4,10646786.0,10987743.0,13807410.0,3355708.0,609990.0,5738283.0,17325056.0,4574432.0,20529964.0,67917.0,38850.0,2725633.0,21171700.0,531896.0,10629693.0,9915957.0,5585924.0,2767517.0,292200.0,1444.0,252703.0,1562516.0,2.53,243090270.0,8224378.0,128338.0,133817.0,1181327.0,21300363.0,336566.0,4498693.0,925217.0,1309735.0,15579847.0,266243.0,3671306.0,1961436.0,3154240.0,1308569.0,202326.0
