State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Alabama,2013,4799277.0,38.1,2328592.0,2470685.0,3326188.0,1262152.0,56831.0,188294.0,3660703.0,168232.0,4497352.0,43253.0,23680.0,870631.0,4682976.0,241930.0,2259344.0,2178116.0,1281604.0,557079.0,122500.0,705.0,43229.0,339433.0,2.55,46428500.0,1869731.0,8935.0,23233.0,51785.0,4716915.0,57347.0,1121332.0,294979.0,300398.0,3193338.0,40711.0,818315.0,511830.0,458393.0,187852.0,30801.0
Alaska,2013,720316.0,33.6,375798.0,344518.0,481638.0,25033.0,39200.0,42832.0,515714.0,50375.0,665954.0,70760.0,32651.0,69514.0,704041.0,32939.0,393037.0,306662.0,160803.0,91096.0,241800.0,1098.0,7855.0,54763.0,2.75,6223525.0,279760.0,5634.0,27584.0,17261.0,696885.0,23404.0,187469.0,53140.0,59323.0,454301.0,2796.0,101267.0,96565.0,80447.0,31988.0,5068.0
Arizona,2013,6479703.0,36.3,3221367.0,3258336.0,5131739.0,270027.0,182953.0,1935948.0,4840412.0,869868.0,6033147.0,49774.0,25358.0,1131901.0,6333791.0,316360.0,3056508.0,2859768.0,1527475.0,842814.0,165100.0,896.0,69876.0,489479.0,2.67,62356485.0,2353562.0,53840.0,57430.0,148453.0,6373367.0,200680.0,1618689.0,410780.0,452106.0,4211194.0,52419.0,863210.0,776231.0,716734.0,296979.0,48203.0
Arkansas,2013,2933369.0,37.5,1439862.0,1493507.0,2295446.0,454903.0,37776.0,192264.0,2217101.0,133397.0,2738012.0,40768.0,22170.0,547328.0,2849641.0,121235.0,1372975.0,1320772.0,753793.0,375930.0,107300.0,661.0,28809.0,191049.0,2.53,25294930.0,1143199.0,5460.0,21537.0,39059.0,2879435.0,42638.0,707821.0,214176.0,223344.0,1936554.0,22954.0,561542.0,304123.0,257157.0,93456.0,15503.0
California,2013,37659181.0,35.4,18726468.0,18932713.0,23467167.0,2255372.0,5005635.0,14270345.0,28275343.0,10175839.0,35131429.0,61094.0,29527.0,5885417.0,36913404.0,2168665.0,18946244.0,13726869.0,6939104.0,5603356.0,366400.0,1224.0,496785.0,1184409.0,2.94,420554335.0,13761392.0,841628.0,446899.0,852908.0,37130876.0,766571.0,9225966.0,2778489.0,2981998.0,24455010.0,598141.0,4525094.0,3972174.0,4753446.0,1821325.0,360357.0
Colorado,2013,5119329.0,36.1,2568343.0,2550986.0,4301096.0,203755.0,141719.0,1064009.0,3858312.0,495520.0,4779527.0,58433.0,31109.0,660874.0,5002589.0,231741.0,2774490.0,2222782.0,1292645.0,684946.0,236200.0,939.0,62025.0,245191.0,2.53,57001935.0,2112266.0,80504.0,76958.0,163734.0,5025295.0,112170.0,1225807.0,310569.0,322023.0,3388783.0,29018.0,621098.0,557852.0,799431.0,330767.0,51826.0
Delaware,2013,908446.0,38.9,439985.0,468461.0,635474.0,194964.0,30422.0,76107.0,700032.0,76763.0,852446.0,59878.0,29819.0,103633.0,883004.0,41207.0,466696.0,407865.0,243223.0,92484.0,235800.0,999.0,8423.0,72158.0,2.63,9943050.0,372831.0,13288.0,9449.0,15749.0,893326.0,9727.0,204585.0,35649.0,38079.0,611728.0,6361.0,172876.0,83129.0,105108.0,50483.0,9745.0
District of Columbia,2013,619371.0,33.8,293104.0,326267.0,248141.0,310530.0,21845.0,59479.0,510800.0,85229.0,582879.0,65830.0,45290.0,109200.0,585525.0,38994.0,357458.0,298327.0,111070.0,152579.0,445200.0,1242.0,12823.0,34678.0,2.2,8862550.0,124946.0,120076.0,38164.0,14961.0,608630.0,2600.0,105045.0,19095.0,18375.0,430307.0,4818.0,69105.0,46697.0,97641.0,74657.0,16848.0
Connecticut,2013,3583561.0,40.2,1745364.0,1838197.0,2792554.0,361668.0,141709.0,496939.0,2770936.0,487187.0,3386166.0,69461.0,37892.0,354348.0,3473255.0,190709.0,1958723.0,1486995.0,919488.0,436361.0,278900.0,1056.0,37033.0,131146.0,2.55,41141870.0,1503547.0,80574.0,52155.0,71055.0,3526628.0,27684.0,802863.0,132005.0,150240.0,2443761.0,23600.0,600317.0,299040.0,498124.0,283662.0,38390.0
Florida,2013,19091156.0,41.0,9332589.0,9758567.0,14568521.0,3056152.0,475905.0,4369920.0,15027251.0,3698746.0,18014852.0,46956.0,26236.0,3052807.0,18681565.0,1096028.0,9355809.0,9003933.0,4806997.0,2351983.0,160200.0,990.0,207750.0,1844953.0,2.61,199394310.0,7235750.0,166027.0,126018.0,387827.0,18778532.0,490751.0,3997284.0,1442051.0,1854197.0,13317503.0,183723.0,3400290.0,1928746.0,2253937.0,854996.0,141781.0
Georgia,2013,9810417.0,35.6,4793940.0,5016477.0,5948977.0,3010984.0,330392.0,875849.0,7269336.0,950670.0,9133039.0,49179.0,25182.0,1736680.0,9542869.0,544802.0,4852644.0,4094812.0,2292030.0,1226067.0,151300.0,860.0,102642.0,576715.0,2.71,108265375.0,3788889.0,89098.0,65338.0,198930.0,9610713.0,238594.0,2484323.0,769439.0,802009.0,6323120.0,81690.0,1511144.0,973515.0,1121880.0,453219.0,71463.0
Idaho,2013,1583364.0,34.9,793708.0,789656.0,1455692.0,8957.0,20141.0,180901.0,1153076.0,93804.0,1465609.0,46767.0,22568.0,240298.0,1552767.0,67189.0,766649.0,670084.0,404734.0,175063.0,162100.0,728.0,14586.0,90287.0,2.68,12909285.0,601322.0,5644.0,20686.0,39266.0,1562894.0,41594.0,426249.0,102740.0,116462.0,1000946.0,10194.0,228031.0,186486.0,172377.0,54722.0,9964.0
Hawaii,2013,1376298.0,38.3,691426.0,684872.0,344488.0,24532.0,526743.0,128171.0,1031429.0,246735.0,1287075.0,67402.0,29305.0,149531.0,1340061.0,48748.0,728795.0,522164.0,259270.0,190501.0,503100.0,1380.0,16811.0,72393.0,2.96,16454320.0,537275.0,42251.0,31081.0,30192.0,1323796.0,10020.0,304623.0,37346.0,43824.0,938217.0,10126.0,240803.0,158370.0,186379.0,63311.0,12321.0
Illinois,2013,12848554.0,36.8,6304099.0,6544455.0,9320910.0,1851524.0,609923.0,2060706.0,9742838.0,1774726.0,12027783.0,56797.0,29666.0,1772333.0,12547066.0,700616.0,6718236.0,5291704.0,3220038.0,1552685.0,182300.0,890.0,126776.0,518981.0,2.63,158411020.0,4855238.0,514782.0,186284.0,241775.0,12668117.0,123934.0,3081894.0,716359.0,787273.0,8509739.0,95087.0,2006238.0,1244794.0,1657947.0,739404.0,97616.0
Indiana,2013,6514861.0,37.1,3206295.0,3308566.0,5510618.0,592954.0,107563.0,400788.0,4913683.0,308060.0,6087409.0,48248.0,24635.0,969881.0,6317159.0,315476.0,3283407.0,2800895.0,1736481.0,745312.0,122800.0,730.0,60734.0,319102.0,2.55,65376680.0,2683047.0,30833.0,61534.0,95412.0,6414808.0,135593.0,1593235.0,377752.0,396468.0,4258878.0,37569.0,1286939.0,603001.0,632094.0,258886.0,40860.0
Iowa,2013,3062553.0,38.1,1516152.0,1546401.0,2802839.0,91754.0,55878.0,157711.0,2335338.0,137061.0,2864943.0,51843.0,27027.0,367414.0,2963129.0,94913.0,1650140.0,1341001.0,885942.0,340605.0,124300.0,670.0,25921.0,114454.0,2.42,27339925.0,1360832.0,16483.0,55636.0,70875.0,3016863.0,29841.0,722659.0,117499.0,110917.0,2026719.0,13765.0,584805.0,286373.0,359520.0,112200.0,20867.0
Kansas,2013,2868107.0,36.0,1425049.0,1443058.0,2449273.0,164299.0,70408.0,308122.0,2125577.0,191100.0,2665346.0,51332.0,26929.0,382820.0,2784505.0,104341.0,1509187.0,1235485.0,749737.0,360703.0,128400.0,732.0,28931.0,125045.0,2.51,25026845.0,1259964.0,6521.0,33476.0,59057.0,2808883.0,51028.0,723140.0,156049.0,149019.0,1850010.0,13924.0,429339.0,301027.0,363386.0,143301.0,20270.0
Kentucky,2013,4361333.0,38.2,2145986.0,2215347.0,3835013.0,341576.0,51411.0,136340.0,3323981.0,143689.0,4082467.0,43036.0,23462.0,796202.0,4230912.0,201987.0,2076555.0,1930158.0,1159188.0,535808.0,120400.0,655.0,41129.0,235162.0,2.5,40473695.0,1696250.0,20249.0,39557.0,56180.0,4273751.0,60540.0,1018483.0,267561.0,284672.0,2920579.0,32009.0,786950.0,407517.0,372738.0,183161.0,25428.0
Louisiana,2013,4567968.0,36.0,2234939.0,2333029.0,2874235.0,1463345.0,73460.0,202145.0,3436393.0,175999.0,4255893.0,44874.0,24442.0,846780.0,4438263.0,192166.0,2203325.0,1974313.0,1143500.0,564352.0,138900.0,773.0,41651.0,266461.0,2.6,47845605.0,1813834.0,25497.0,38071.0,45662.0,4463986.0,64694.0,1113970.0,333100.0,361657.0,2977813.0,38757.0,859082.0,476928.0,433526.0,144867.0,26235.0
Maine,2013,1328320.0,43.2,649600.0,678720.0,1264047.0,14637.0,14391.0,17946.0,1057123.0,45285.0,1261144.0,48453.0,26824.0,175624.0,1293306.0,53866.0,703066.0,721971.0,397512.0,156311.0,174500.0,764.0,14030.0,168148.0,2.33,13968765.0,560286.0,3828.0,25297.0,33640.0,1313789.0,13515.0,268615.0,49610.0,72673.0,943281.0,5597.0,270456.0,131039.0,169061.0,66849.0,10964.0
Maryland,2013,5834299.0,38.0,2824531.0,3009768.0,3406243.0,1717582.0,332620.0,493310.0,4457690.0,814749.0,5467945.0,73538.0,36354.0,558329.0,5693236.0,260567.0,3214633.0,2387285.0,1450893.0,695347.0,292700.0,1196.0,64169.0,241045.0,2.65,88663355.0,2413682.0,256052.0,68435.0,120230.0,5737052.0,59489.0,1346739.0,259060.0,275257.0,3922827.0,39708.0,899158.0,536246.0,789022.0,445990.0,94483.0
Massachusetts,2013,6605058.0,39.2,3197502.0,3407556.0,5318548.0,454887.0,368178.0,655863.0,5191938.0,991708.0,6238762.0,66866.0,35763.0,725351.0,6375042.0,322730.0,3636347.0,2808549.0,1585259.0,944888.0,330100.0,1069.0,87623.0,278402.0,2.51,86898010.0,2592300.0,302359.0,153847.0,140256.0,6524851.0,20998.0,1404696.0,122430.0,116526.0,4510714.0,60405.0,1032315.0,517018.0,1006270.0,538224.0,106970.0
Michigan,2013,9886095.0,39.1,4851302.0,5034793.0,7841011.0,1385154.0,251175.0,447594.0,7577743.0,604237.0,9300837.0,48411.0,25681.0,1625982.0,9665127.0,616469.0,4864014.0,4529311.0,2757062.0,1066218.0,121700.0,768.0,86402.0,706031.0,2.53,95850215.0,3799592.0,56340.0,90643.0,150528.0,9773019.0,94265.0,2299994.0,490625.0,540483.0,6594586.0,69695.0,1745288.0,1068282.0,1049930.0,486283.0,67068.0
Minnesota,2013,5347740.0,37.6,2655658.0,2692082.0,4575991.0,279944.0,222761.0,257144.0,4064874.0,392037.0,4996324.0,59836.0,30913.0,598391.0,5223936.0,210815.0,2961476.0,2353932.0,1528272.0,578960.0,187900.0,819.0,50092.0,246700.0,2.47,58551950.0,2348722.0,92680.0,77032.0,139053.0,5288893.0,76509.0,1278257.0,194622.0,179062.0,3562331.0,34123.0,845745.0,555191.0,781186.0,263953.0,42511.0
Mississippi,2013,2976872.0,36.2,1445356.0,1531516.0,1769766.0,1106982.0,27646.0,81433.0,2216273.0,66582.0,2771287.0,39031.0,20618.0,653321.0,2880870.0,149148.0,1355687.0,1277522.0,755132.0,332941.0,99900.0,702.0,25188.0,189449.0,2.65,27537955.0,1113020.0,5323.0,19258.0,27360.0,2908862.0,61638.0,746074.0,217425.0,227242.0,1918110.0,26615.0,471019.0,325980.0,246100.0,98828.0,16545.0
Missouri,2013,6007182.0,38.0,2941951.0,3065231.0,4984653.0,691128.0,98962.0,219705.0,4573203.0,233565.0,5624171.0,47380.0,25649.0,900929.0,5826484.0,267644.0,3059214.0,2713829.0,1613941.0,746190.0,137000.0,727.0,59877.0,353698.0,2.47,60638820.0,2493763.0,40285.0,53663.0,116469.0,5892726.0,94772.0,1408646.0,323311.0,355368.0,4002608.0,30537.0,1078278.0,614347.0,655633.0,282661.0,42737.0
Montana,2013,998554.0,39.9,501549.0,497005.0,893032.0,4038.0,6246.0,30490.0,771680.0,19692.0,937514.0,46230.0,25373.0,148528.0,974000.0,37702.0,518296.0,483303.0,276939.0,128586.0,184200.0,682.0,10289.0,77778.0,2.39,7932840.0,401213.0,3840.0,23061.0,29472.0,982993.0,25705.0,222236.0,63473.0,81024.0,677947.0,2733.0,171677.0,124400.0,133788.0,40631.0,7908.0
Nebraska,2013,1841625.0,36.3,913478.0,928147.0,1624312.0,84228.0,34144.0,173903.0,1376467.0,116630.0,1711160.0,51672.0,26899.0,228789.0,1787452.0,57525.0,1011281.0,800277.0,486533.0,239254.0,128000.0,706.0,18171.0,74490.0,2.47,16220340.0,849503.0,6622.0,26866.0,42354.0,1812953.0,27165.0,458663.0,92264.0,87098.0,1195699.0,10656.0,295690.0,195726.0,230833.0,76357.0,13843.0
Nevada,2013,2730066.0,36.6,1377138.0,1352928.0,1948808.0,224424.0,202157.0,734097.0,2058522.0,521931.0,2546528.0,52800.0,26589.0,403314.0,2690659.0,175142.0,1414220.0,1177751.0,566921.0,432095.0,169100.0,986.0,37884.0,178735.0,2.7,27941385.0,1085022.0,41070.0,25160.0,39926.0,2694751.0,109372.0,661132.0,224060.0,243444.0,1816959.0,24187.0,452747.0,341125.0,268804.0,94708.0,13976.0
